Song Title,Artist,Spotify or YouTube link,Your name (or tag)
P.S.Y.C.H.O.T.I.C,The Warning,https://open.spotify.com/track/0wRHqRHUXgoOXe6H6XS1sJ?si=b8342a2b7f4645bd,wece
wyoming,elijah fox,https://open.spotify.com/track/7AD62SKq4XjpH92x6rPetX?si=9a9bdbf4567f4a09,abbi 
wet,dazzy and the scouts,https://open.spotify.com/track/7yBjQ29XKxHlxuqycHuvmm?si=56731dc55d7c4cb7,abbi
ANTIFRAGILE,LE SSERAFIM,https://open.spotify.com/track/0bMoNdAnxNR0OuQbGDovrr?si=54c1ab78bd3749c5,wece
I Been Young,George Clanton,https://open.spotify.com/track/1gRDj5L77TVphFS2AT0nh3?si=b3f710105d114762,Duck
strawberry blond,mitski,https://open.spotify.com/track/1EO9dn7V0ufwPHJngZThO5?si=27e09441f14d43be,abbi
UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,https://open.spotify.com/track/51vRumtqbkNW9wrKfESwfu?si=d7c3ca6af46f4d99,wece
"Eve, Psyche & The Bluebeard's wife",LE SSERAFIM,https://open.spotify.com/track/4QhnNyKDsAkXPwHkSnuc89?si=61ff4e4a09df4bd5,wece
wave of mutilation,pixies,https://open.spotify.com/track/51Z2IzJvLCnZaIpBV0IYRr?si=d385fd0e290e45fe,abbi
pale blue eyes,velvet underground,https://open.spotify.com/track/11VwZwNF29HrqwalYUMitb?si=def409591a68425a,abbi
Queencard,(G)I-DLE,https://open.spotify.com/track/4uOBL4DDWWVx4RhYKlPbPC?si=9a010676b03943c6,wece
TOMBOY,(G)I-DLE,https://open.spotify.com/track/0IGUXY4JbK18bu9oD4mPIm?si=e48f280829664ec1,wece
after hours,velvet underground,https://open.spotify.com/track/6cA1usDL8nTHeSgFewQat3?si=1ce32ce4cfae4153,abbi
starting over,LSD and the search for god,https://open.spotify.com/track/0dcu28YT8cXZH7JTIraszp?si=e70b429fc43241ac,abbi
last kiss,bonnie pink,https://open.spotify.com/track/07bqcRvKMxV0VzXBfMWI1Q?si=1e85f27c835f400b,abbi
russian roulette,red velvet,https://open.spotify.com/track/5HiSc2ZCGn8L3cH3qSwzBT?si=c6314383911b4591,abbi
omoide cafe,ichiko aoba,https://open.spotify.com/track/18uzOS9Ot3qHpM357bnFQk?si=baa1bc5994b94ad2,abbi
The Feels,TWICE,https://open.spotify.com/track/308Ir17KlNdlrbVLHWhlLe?si=7dd12dc202804f17,wece
踊り子,vaundy,https://open.spotify.com/track/4UeWKazLR1ZwwSVnLw9Ir9?si=213327f7f35846a4,abbi
never going back again,fleetwood mac,https://open.spotify.com/track/19Shlms2uTnOjIUg50TXzd?si=65dda4097646422c,abbi
sarah,alex g,https://open.spotify.com/track/4HuiEuJ7ZW8jewUuZBg6sk?si=fd8857a8d5754cd3,abbi
gardenhead/leave me alone,neutral milk hotel,https://open.spotify.com/track/2yv9rzdLVlrerwpQBJ5ZRw?si=e56228c8781d4962,abbi
Agnes,Glass Animals,https://open.spotify.com/track/6prvUr8l3t7x5GY7heQb5w?si=erOXhIcUS_6dKc1ADTiosg,yommi
an old smile,macabre plaza,https://open.spotify.com/track/7GipuWhjsp4BCIiuId4Gqc?si=4257fdc3643b4f3f,abbi
Tangerine,Glass Animals,https://open.spotify.com/track/40rOlDoGejXXF4B0BYsjx8?si=Sue8xVtbQfybd2DYuDO0-w,yommi
till the wheels fall off,macabre plaza,https://open.spotify.com/track/29ac5I0B0NierBqLwJgMkc?si=7a5ba078cf064ffc,abbi
L I S A,lush crayon ,https://open.spotify.com/track/1SV7FKtq8uOta3AizJ9bJc?si=a2a4957b71b34afd,abbi
パームサンデー,lush crayon,https://open.spotify.com/track/5tDf33JbOJW8y8YK5ou83e?si=ccadb5f109dc41f8,abbi
the lifespan of a rivalry,shalfi,https://open.spotify.com/track/1Vg7sJ5BFzNN5lNL7zpMKe?si=cf2a08e33977422e,abbi
amaterasu,shalfi,https://open.spotify.com/track/1qymoHrGlv97t0PIhBiHxK?si=2b44d37395734101,abbi
defender,shalfi,https://open.spotify.com/track/42xXyNrhlsAPfM9GbX4PMD?si=f122a9d0528c48f9,abbi 
Shut Down,BLACKPINK,https://open.spotify.com/track/7gRFDGEzF9UkBV233yv2dc?si=882ee5e97fac4ebe,wece
Pink Venom,BLACKPINK,https://open.spotify.com/track/5zwwW9Oq7ubSxoCGyW1nbY?si=2c65b29b16764ca0,wece
How Like You That,BLACKPINK,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o?si=ba567f03bd8644be,wece
Typa Girl,BLACKPINK,https://open.spotify.com/track/0L8LOav65XwLjCLS11gNPD?si=df8a17409a47460d,wece
Hard To Love,BLACKPINK,https://open.spotify.com/track/3MJhPqL2IgGs7gHEB2M35q?si=f00e5c608a8d4ed0,wece
Heart Attack,LOONA,https://open.spotify.com/track/6SSC9KZQaxBdyipKRigrFC?si=48bfa6ece47b48c4,wece
Hitsuji ga Ippiki,Vivid BAD SQUAD,https://youtu.be/QkF12S1QCxc?si=ArGVzjI3UzZERNQL,yommi
classic j dies and goes to hell part 1,glass beach,https://open.spotify.com/track/3ezuOjWuTirncJITAb8ahf?si=55db563bc78840b7,mari
I'll Stick Around,Foo Fighters,https://open.spotify.com/track/4LGKzrdEeBwR9UHCGlDT0W?si=31702f9008e44171,Duck
PTT (Paint The Town),LOONA,https://open.spotify.com/track/5awNIWVrh2ISfvPd5IUZNh?si=98f2ec07d1044b53,wece
Hi High,LOONA,https://open.spotify.com/track/4EMAaWwu2zXTkXIA6YPKkt?si=8c29c835171c44b1,wece
Clusterhug,I DONT KNOW HOW BUT THEY FOUND ME,https://open.spotify.com/track/65yrKuYdBYsMA1ItIngmjc?si=dcae54bacaf34d6d,mari
The Moon,The Microphones,https://open.spotify.com/track/4pbEwQiDjPln3oYlijXuOE?si=d7c3c864c2a449bc,Duck
Butterfly,LOONA,https://open.spotify.com/track/6wNKKoUQfLPmch7cqSFytV?si=d2010401890c4d62,wece
Fight Test,The Flaming Lips,https://open.spotify.com/track/0ScgmigVOJr2mFsAtwFQmz?si=f339b8d664464e04,Duck
Vancouver,Jeff Buckley,https://open.spotify.com/track/3EpttYJLCx0QCqDDhr1aPR?si=20b9979d022d41f1,Duck
I Stay Away,Alice In Chains,https://open.spotify.com/track/6HnZsLUDrG3HTSbh8sq2u3?si=0705cc7f3a794d99,Duck
Rain When I Die,Alice In Chains,https://open.spotify.com/track/6a9SPVrXyrlVh5Fh08f8Bz?si=40f8c1469fe84336,Duck
Marigolds,Early Eyes,https://open.spotify.com/track/6jDjdfe7npTAxfwVq2HRfr?si=ebae12e055ce40fa,mari
Case for you,"Early Eyes, Dizzy Fae",https://open.spotify.com/track/4DbOFdHstaZ8vBDSza2Ei4?si=25a1f4a3796441bd,mari
reflection eternal,Nujabes,https://open.spotify.com/track/6eGMwVVABqVTe9bWRIm498?si=3f2bac4a173a4186,Duck
Glue Song,beabadobee,https://open.spotify.com/track/3iBgrkexCzVuPy4O9vx7Mf?si=0d2c7b6e2aef43cd,wece
Apple Cider,Early Eyes,https://open.spotify.com/track/5I7419zU7uwAC5tkLNeoOV?si=c2c68083c4e54521,mari
Spikes,Death Grips,https://open.spotify.com/track/11TpRtA1zMLeAPTLloNmG4?si=6582139488ad44db,Duck
the perfect pair,beabadobee,https://open.spotify.com/track/41P6Tnd8KIHqON0QIydx6a?si=5de6978f0ffe4fd7,wece
#3,Aphex Twin,https://open.spotify.com/track/7glKwbR1DyuIuE6XvZvJbQ?si=9addde8644ce4506,Duck
the way things go,beabadobee,https://open.spotify.com/track/5sA3i6SGkILMiZW6Fhx4wv?si=f56f309ab0e846c3,wece
charles(Self Cover),balloon,https://open.spotify.com/track/0k0R0DiJcrEctDNCDe7hmJ?si=M-kvGoFiQCWZNq7FZAhX7Q,yommi
A Night To Remember,beabadobee,https://open.spotify.com/track/180AbZduI6bYQIzwCHRwu9?si=ea6b5c43884d456e,wece
non-breath oblige,PinocchioP,https://open.spotify.com/track/5LAec0974S9ZJ4WmNbgRyv?si=kgy-BK-YSkyfUvOpqYtT2Q,yommi
Sunkissed,khai dreams,https://open.spotify.com/track/34RmzDXMv0ELSQTK4pNvX3?si=9ED0H8DXQ0GuM3xVas0X3A,yommi
Enemy (with JID),Imagine Dragons,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ?si=383aadd877c14f81,wece
Vordhosbn,Aphex Twin,https://open.spotify.com/track/0AjQvTAlYcWQ6JpJcUdsKw?si=ecf12a1467894727,Duck
My One And Only Love,"John Coltrane, Johnny Hartman",https://open.spotify.com/track/0uPkCpuoERqrkBL06Art50?si=c72d39c9592441a0,Duck
Wild,Spoon,https://open.spotify.com/track/05uhED0miR9OJYPalPi7tx?si=3fcc362642814aeb,Duck
Such Great Heights,The Postal Service,https://open.spotify.com/track/4G21jWo0Cm6lOIUNnZ2mUI?si=1cae788843ef4c34,Duck
Cigarettes out the Window,TV Girl,https://open.spotify.com/track/6QeYSvYqYUsfBzsApbjDHO?si=10600e8c0ce2412b,Duck
You'll Never Find Another Love Like MIne,Lou Rawls,https://open.spotify.com/track/6OylYIXrIH2E3hgg7Dqz5M?si=bde1747e7d2344f5,big T
we fell in love in october,girl in red,https://open.spotify.com/track/6IPwKM3fUUzlElbvKw2sKl?si=6be13fd3e84e4d66,wece
i wanna be your girlfriend,girl in red,https://open.spotify.com/track/5PjdC2gMATetx5xdnwGUu7?si=e1302533aeba4e6f,wece
Right Now,Santana,https://open.spotify.com/track/1rH1CqV2gJw5gAvSpt1qyz?si=66eda2d7ae2c403d,Big T
bad idea!,girl in red,https://open.spotify.com/track/57j65yC2HggQfmYNc6rdOK?si=d3f84023694540a9,wece
midnight love,girl in red,https://open.spotify.com/track/32XaqPVTVkkuOiOPQZ3SpA?si=859bf79b37f3449f,wece
What's Going On,Marvin Gaye,https://open.spotify.com/track/3Um9toULmYFGCpvaIPFw7l?si=8f371b5a203b4560,big T
Serotonin,girl in red,https://open.spotify.com/track/7tLTxOJY6cjQz4aJYMs8Nu?si=620dd172f4a3471f,wece
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr., Bill Withers",https://open.spotify.com/track/2tH28YyKYOldxhuBHoI79M?si=d409bc6d4ee6408b,big T
vampire,Olivia Rodrigo,https://open.spotify.com/track/1kuGVB7EU95pJObxwvfwKS?si=6f9e3361cd4a46f0,wece
Television / So Far So Good,Rex Orange County,https://open.spotify.com/track/27rZYxE4l21wTaovX4WTnI?si=a257d1641f304ca0,big T
STOP TRYING TO BE GOD,Travis Scott,https://open.spotify.com/track/1xYpVRspgaLxdJLOTQkTjg?si=abe8b802773e4974,big T
Crack Rock,Frank Ocean,https://open.spotify.com/track/5lcyIeEfwZTs8Ajw3kdF7P?si=9b62e2d43ba44b3b,big T
bad idea right?,Olivia Rodrigo,https://open.spotify.com/track/3IX0yuEVvDbnqUwMBB3ouC?si=955f5f9338104190,wece
Unshaken,D'Angelo,https://open.spotify.com/track/3okk47CKOqAm1TXmVPzNYf?si=d479983ff8f04eb4,big T
Figure You Out,Djo,https://open.spotify.com/track/6TorufIR9E06RXo3VhZaae?si=bd9d977cac734750,big T
Alter Ego,Tame Impala,https://open.spotify.com/track/5LICMXZgySWGZzyGENmvMv?si=22a4510cbbc046ac,big T
Guns for Hire,Woodkid,https://open.spotify.com/track/46ywPN36eLaRjQddouF83h?si=81eaa7cae01b4251,Woodkid
deja vu,Olivia Rodrigo,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr?si=30f4c908f2ed41c4,wece
Wesley's Theory,"Kendrick Lamar, George Clinton, Thundercat",https://open.spotify.com/track/7Ks4VCY1wFebnOdJrM13t6?si=270dcb14ff8e4d0e,big T
Heartbeat,Childish Gambino,https://open.spotify.com/track/0zo4aX57COch7Wh3NRImTM?si=eb9cdf7bc7e84deb,big T
drivers license,Olivia Rodrigo,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH?si=116c7398fda44b5d,wece
Buried Alive,Logic,https://open.spotify.com/track/0Kojfmpnf0A2yC1zyv39Zx?si=3aa54d49af2b4184,big T
lacy,Olivia Rodrigo,https://open.spotify.com/track/6QT6j7rKt7Vk3IuV2AUO9W?si=0375e577f02c488b,wece
6 God,Drake,https://open.spotify.com/track/3a8tAZFJxlmBwOtrf5L1oC?si=0a5a30587d2e4407,big T
Tribe,"Bas, J. Cole",https://open.spotify.com/track/0YAQnYt2oB8OdoaeqnHyTI?si=a92335f1f9bc46c2,putting this because fuck mari abbi and sofi 
Bubblin,Anderson .Paak,https://open.spotify.com/track/6BvtitRX5lQC87YlA6rq0n?si=e5941bd04bd94b10,big T
WISH FEAT. KIDDO MARV,"Denzel Curry, Kiddo Marv",https://open.spotify.com/track/0shSP8DgseLewHgAiMC4UL?si=30623e1d50a748c8,big T
GIANTS,True Damage,https://open.spotify.com/track/5C0ivQMxes2lWuOANhvVAm?si=b89d27a163de4774,big T
Disloyal Order of Water Buffaloes,Fall Out Boy,https://open.spotify.com/track/4qg2rXtE20scfPhGvG5tqq?si=4e6d40561d114b8e,big T
Locked out of Heaven,Bruno Mars,https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh?si=2cd5b9f75b5d4026,big T
